TOLLGATE_ID,INTERSECTION_ID,SA00,SA01,SA02,SA03,SA04,SA05,TRN_STA,TRN_END,SUM_LENGTH,SI00,SI01,SI02,SI03,SI04,SI05,SI06,SI07,SI08,FIX,RATIO,ROUTE_HOUR_head,ROUTE_PCT_head,ROUTE_MIN_TTIME,ROUTE_MAX_TTIME,ROUTE_LAST_TTIME,ROUTE_MEAN_TTIME
2,A,41.92,39.43,48.13,62.11,46.12,49.56,2016-07-19 03:20:00,2016-07-19 05:00:00,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585129,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135
2,A,39.43,48.13,62.11,46.12,49.56,54.84,2016-07-19 03:40:00,2016-07-19 05:20:00,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585129,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135
2,A,48.13,62.11,46.12,49.56,54.84,58.08,2016-07-19 04:00:00,2016-07-19 05:40:00,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585129,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135
2,A,62.11,46.12,49.56,54.84,58.08,46.36,2016-07-19 04:20:00,2016-07-19 06:00:00,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585129,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135
2,A,46.12,49.56,54.84,58.08,46.36,48.59,2016-07-19 04:40:00,2016-07-19 06:20:00,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585129,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135
2,A,49.56,54.84,58.08,46.36,48.59,66.64,2016-07-19 05:00:00,2016-07-19 06:40:00,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585129,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135
2,A,54.84,58.08,46.36,48.59,66.64,64.68,2016-07-19 05:20:00,2016-07-19 07:00:00,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585129,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135
2,A,58.08,46.36,48.59,66.64,64.68,85.68,2016-07-19 05:40:00,2016-07-19 07:20:00,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585129,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135
2,A,46.36,48.59,66.64,64.68,85.68,58.97,2016-07-19 06:00:00,2016-07-19 07:40:00,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585129,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135
3,A,124.66,89.85,180.02,101.39,124.29,155.49,2016-07-19 06:00:00,2016-07-19 07:40:00,852,1.0877593175467717,1.0343430602504002,1.0055119054879875,0.9732037721245056,1.0048819418848,0.9651042400835212,0.9860730285896252,0.9778385043479576,0.9652842296844318,111.11753067287256,1.0516426893060409,9,0.06681380681709448,0.17582417582417584,22.934065934065927,22.758241758241763,12.511789475590279
